,Date,Time,Open,High,Low,Close,Total Volume,Period Volume
0,2008-06-02,09:31:00,139.82,139.86,139.8,139.82,3772100.0,1090825.0
1,2008-06-02,09:32:00,139.82,139.83,139.75,139.75,4052538.0,280438.0
2,2008-06-02,09:33:00,139.75,139.77,139.68,139.73,4680052.0,377514.0
3,2008-06-02,09:34:00,139.74,139.8,139.74,139.75,4915481.0,235429.0
4,2008-06-02,09:35:00,139.74,139.78,139.69,139.72,5268406.0,352925.0
5,2008-06-02,09:36:00,139.72,139.75,139.69,139.71,5534976.0,266570.0
6,2008-06-02,09:37:00,139.71,139.77,139.69,139.74,5902533.0,267557.0
7,2008-06-02,09:38:00,139.74,139.76,139.67,139.67,6180354.0,277821.0
8,2008-06-02,09:39:00,139.67,139.69,139.58,139.61,6732448.0,552094.0
9,2008-06-02,09:40:00,139.61,139.67,139.6,139.65,7358433.0,600985.0
10,2008-06-02,09:41:00,139.65,139.66,139.54,139.54,7936140.0,577707.0
11,2008-06-02,09:42:00,139.54,139.57,139.51,139.54,8568180.0,631895.0
12,2008-06-02,09:43:00,139.54,139.59,139.51,139.59,8794270.0,226090.0
13,2008-06-02,09:44:00,139.58,139.6,139.54,139.59,9002238.0,207968.0
14,2008-06-02,09:45:00,139.6,139.64,139.55,139.55,9593699.0,591461.0
15,2008-06-02,09:46:00,139.55,139.55,139.47,139.49,9996174.0,402475.0
16,2008-06-02,09:47:00,139.49,139.52,139.47,139.48,10760764.0,764590.0
17,2008-06-02,09:48:00,139.48,139.51,139.44,139.48,11089908.0,329144.0
18,2008-06-02,09:49:00,139.47,139.53,139.46,139.49,12262632.0,672724.0
19,2008-06-02,09:50:00,139.49,139.53,139.47,139.49,12849613.0,586981.0
20,2008-06-02,09:51:00,139.48,139.49,139.37,139.37,13353559.0,503946.0
21,2008-06-02,09:52:00,139.37,139.42,139.37,139.41,13634329.0,280770.0
22,2008-06-02,09:53:00,139.4,139.41,139.23,139.25,14209189.0,574860.0
23,2008-06-02,09:54:00,139.25,139.3,139.24,139.28,14631660.0,422471.0
24,2008-06-02,09:55:00,139.28,139.29,139.19,139.21,16338024.0,1456364.0
25,2008-06-02,09:56:00,139.2,139.23,139.18,139.21,16935886.0,597862.0
